,Predictions
0,1.0
1,2.0
2,5.0
3,1.0
4,5.0
5,1.0
6,5.0
7,1.0
8,3.0
9,3.0
10,1.0
11,2.0
12,5.0
13,1.0
14,5.0
15,1.0
16,5.0
17,1.0
18,3.0
19,3.0
20,1.0
21,2.0
22,5.0
23,1.0
24,5.0
25,1.0
26,5.0
27,1.0
28,3.0
29,3.0
30,1.0
31,2.0
32,5.0
33,1.0
34,5.0
35,1.0
36,5.0
37,1.0
38,3.0
39,3.0
40,1.0
41,2.0
42,5.0
43,1.0
44,5.0
45,1.0
46,5.0
47,1.0
48,3.0
49,3.0
50,1.0
51,2.0
52,5.0
53,1.0
54,5.0
55,1.0
56,5.0
57,1.0
58,3.0
59,3.0
60,1.0
61,2.0
62,5.0
63,1.0
64,5.0
65,1.0
66,5.0
67,1.0
68,3.0
69,3.0
70,1.0
71,2.0
72,5.0
73,1.0
74,5.0
75,1.0
76,5.0
77,1.0
78,3.0
79,3.0
80,1.0
81,2.0
82,5.0
83,1.0
84,5.0
85,1.0
86,5.0
87,1.0
88,3.0
89,3.0
90,1.0
91,2.0
92,5.0
93,1.0
94,5.0
95,1.0
96,5.0
97,1.0
98,3.0
99,3.0
100,1.0
101,2.0
102,5.0
103,1.0
104,5.0
105,1.0
106,5.0
107,1.0
108,3.0
109,3.0
110,1.0
111,2.0
112,5.0
113,1.0
114,5.0
115,1.0
116,5.0
117,1.0
118,3.0
119,3.0
120,1.0
121,2.0
122,5.0
123,1.0
124,5.0
125,1.0
126,5.0
127,1.0
128,3.0
129,3.0
130,1.0
131,2.0
132,5.0
133,1.0
134,5.0
135,1.0
136,5.0
137,1.0
138,3.0
139,3.0
140,1.0
141,2.0
142,5.0
143,1.0
144,5.0
145,1.0
146,5.0
147,1.0
148,3.0
149,3.0
150,1.0
151,2.0
152,5.0
153,1.0
154,5.0
155,1.0
156,5.0
157,1.0
158,3.0
159,3.0
160,1.0
161,2.0
162,5.0
163,1.0
164,5.0
165,1.0
166,5.0
167,1.0
168,3.0
169,3.0
170,1.0
171,2.0
172,5.0
173,1.0
174,5.0
175,1.0
176,5.0
177,1.0
178,3.0
179,3.0
180,1.0
181,2.0
182,5.0
183,1.0
184,5.0
185,1.0
186,5.0
187,1.0
188,3.0
189,3.0
190,1.0
191,2.0
192,5.0
193,1.0
194,5.0
195,1.0
196,5.0
197,1.0
198,3.0
199,3.0
200,1.0
201,2.0
202,5.0
203,1.0
204,5.0
205,1.0
206,5.0
207,1.0
208,3.0
209,3.0
210,1.0
211,2.0
212,5.0
213,1.0
214,5.0
215,1.0
216,5.0
217,1.0
218,3.0
219,3.0
220,1.0
221,2.0
222,5.0
223,1.0
224,5.0
225,1.0
226,5.0
227,1.0
228,3.0
229,3.0
230,1.0
231,2.0
232,5.0
233,1.0
234,5.0
235,1.0
236,5.0
237,1.0
238,3.0
239,3.0
240,1.0
241,2.0
242,5.0
243,1.0
244,5.0
245,1.0
246,5.0
247,1.0
248,3.0
249,3.0
250,1.0
251,2.0
252,5.0
253,1.0
254,5.0
255,1.0
256,5.0
257,1.0
258,3.0
259,3.0
260,1.0
261,2.0
262,5.0
263,1.0
264,5.0
265,1.0
266,5.0
267,1.0
268,3.0
269,3.0
270,1.0
271,2.0
272,5.0
273,1.0
274,5.0
275,1.0
276,5.0
